,IDFecha,IDTipoVuelo,IDTipoTrafico,IDEmpresa,IDEquipo,IDAeropuertoOrigen,IDAeropuertoDestino,Vuelos,Pasajeros,CargaBordo,TotalSillas,TotalCarga,ID
25096,0,2,0,67,83,196,205,2,91,81.0,97,117,25096
25097,6,2,0,67,83,196,205,7,312,0.0,347,1432,25097
25098,11,0,0,28,83,196,205,6,245,0.0,256,22670,25098
25099,15,0,0,28,83,196,205,6,236,33.0,265,2388,25099
25100,14,0,0,28,83,196,205,2,74,0.0,90,1813,25100
25101,15,2,0,28,83,196,205,28,1074,1035.0,1140,7226,25101
25102,10,2,0,28,83,196,205,29,1107,87.0,1223,8495,25102
25103,1,2,0,28,83,196,205,52,1951,1134.0,2321,28340,25103
25104,24,2,0,28,83,196,205,14,434,39.0,728,5026,25104
25105,19,2,0,28,83,196,205,22,808,32.0,1144,17939,25105
25106,20,2,0,28,83,196,205,12,467,509.0,624,6069,25106
25107,6,2,0,28,83,196,205,62,2431,434.0,2694,31072,25107
25108,5,2,0,28,83,196,205,55,2010,535.0,2338,38450,25108
25109,3,2,0,28,83,196,205,48,1715,464.0,2153,40044,25109
25110,13,2,0,28,83,196,205,29,1071,542.0,1212,12208,25110
25111,18,2,0,28,83,196,205,29,1133,472.0,1508,8748,25111
25112,17,2,0,28,83,196,205,28,1088,306.0,1457,20790,25112
25113,16,2,0,28,83,196,205,30,1165,520.0,1288,29716,25113
25114,11,2,0,28,83,196,205,28,1103,16.0,1151,15037,25114
25115,12,2,0,28,83,196,205,30,1129,299.0,1314,39883,25115
25116,2,2,0,28,83,196,205,57,2021,603.0,2562,37954,25116
25117,9,2,0,28,83,196,205,30,1183,328.0,1266,48611,25117
25118,4,2,0,28,83,196,205,51,1713,875.0,2254,43452,25118
25119,23,2,0,28,83,196,205,26,933,186.0,1352,25376,25119
25120,8,2,0,28,83,196,205,28,1131,164.0,1215,6072,25120
25121,7,2,0,28,83,196,205,71,2721,1463.0,3007,39394,25121
25122,14,2,0,28,83,196,205,27,956,1052.0,1111,12789,25122
25123,39,2,0,28,83,196,205,1,42,298.0,44,435,25123
25124,44,2,0,28,83,196,205,1,43,417.0,48,4168,25124
25125,0,2,0,28,83,196,205,61,2474,857.0,2773,22013,25125
25126,23,3,0,10,63,196,205,1,2,0.0,2,0,25126
25127,22,3,0,10,63,196,205,1,2,0.0,2,0,25127
25128,52,3,0,64,42,208,205,1,8,100.0,8,100,25128
25129,16,3,0,84,89,208,205,1,3,264.0,3,264,25129
25130,59,3,0,68,89,208,205,1,10,0.0,10,0,25130
25131,13,3,0,66,106,208,205,1,2,100.0,2,100,25131
25132,17,3,0,66,106,208,205,1,0,500.0,0,500,25132
25133,4,3,0,52,106,208,205,1,5,0.0,5,0,25133
25134,17,3,0,0,16,208,205,3,0,3500.0,0,3500,25134
25135,21,3,0,0,16,208,205,1,0,3300.0,0,3300,25135
25136,21,3,0,10,62,208,205,1,4,0.0,4,0,25136
25137,28,3,0,55,62,208,205,1,1,1.0,1,1,25137
25138,43,3,0,4,61,208,205,1,0,150.0,0,150,25138
25139,21,3,0,4,61,208,205,1,0,60.0,0,60,25139
25140,37,3,0,4,61,208,205,2,2,0.0,2,0,25140
25141,18,3,0,4,61,208,205,1,2,80.0,2,80,25141
25142,16,3,0,4,61,208,205,1,5,150.0,5,150,25142
25143,32,3,0,55,14,208,205,2,0,200.0,0,200,25143
25144,39,3,0,4,59,208,205,1,0,300.0,0,300,25144
25145,22,3,0,4,59,208,205,1,0,390.0,0,390,25145
25146,47,3,0,4,59,208,205,1,2,0.0,2,0,25146
25147,11,3,0,70,24,208,205,1,2,400.0,2,400,25147
25148,17,3,0,70,24,208,205,1,0,600.0,0,600,25148
25149,12,3,0,70,24,208,205,1,1,500.0,1,500,25149
25150,22,3,0,70,24,208,205,1,19,160.0,19,160,25150
25151,13,3,0,70,24,208,205,2,2,2250.0,2,2250,25151
25152,33,3,0,70,24,208,205,1,12,60.0,12,60,25152
25153,34,3,0,70,24,208,205,1,2,80.0,2,80,25153
25154,17,3,0,66,104,208,205,2,0,900.0,0,900,25154
25155,44,3,0,55,104,208,205,1,1,0.0,1,0,25155
25156,64,3,0,55,104,506,503,1,0,0.0,0,0,25156
25157,53,3,0,55,104,208,205,1,0,0.0,0,0,25157
25158,43,3,0,55,104,208,205,1,5,318.0,5,318,25158
25159,4,3,0,52,53,208,205,1,5,0.0,5,0,25159
25160,56,3,0,48,25,208,205,1,2,5.0,2,5,25160
25161,43,3,0,68,89,257,205,1,11,0.0,11,0,25161
25162,60,3,0,68,89,555,503,1,6,0.0,6,0,25162
25163,28,3,0,66,106,257,205,1,1,1.0,1,1,25163
25164,45,3,0,66,106,257,205,1,2,0.0,2,0,25164
25165,38,3,0,66,106,257,205,1,1,70.0,1,70,25165
25166,29,3,0,66,106,257,205,1,1,1.0,1,1,25166
25167,40,3,0,55,55,257,205,1,0,132.0,0,132,25167
25168,43,3,0,55,55,257,205,1,1,0.0,1,0,25168
25169,21,3,0,85,55,257,205,1,0,350.0,0,350,25169
25170,43,3,0,85,55,257,205,1,1,0.0,1,0,25170
25171,75,3,0,69,56,853,801,1,3,0.0,3,0,25171
25172,29,3,0,10,62,257,205,1,2,0.0,2,0,25172
25173,35,3,0,10,62,257,205,1,2,0.0,2,0,25173
25174,57,3,0,4,61,257,205,1,0,0.0,0,0,25174
25175,56,3,0,4,61,257,205,1,0,0.0,0,0,25175
25176,42,3,0,4,61,257,205,1,1,0.0,1,0,25176
25177,58,3,0,4,61,257,205,1,0,0.0,0,0,25177
25178,17,3,0,4,59,257,205,1,0,50.0,0,50,25178
25179,52,3,0,70,24,257,205,1,19,200.0,19,200,25179
25180,1,3,0,70,24,257,205,1,2,550.0,2,550,25180
25181,43,3,0,75,24,257,205,1,0,1800.0,0,1800,25181
25182,53,3,0,66,104,257,205,1,2,0.0,2,0,25182
25183,5,3,0,55,104,257,205,1,3,0.0,3,0,25183
25184,42,3,0,55,104,257,205,1,0,50.0,0,50,25184
25185,42,3,0,70,24,51,205,1,1,0.0,1,0,25185
25186,47,3,0,4,61,242,215,1,2,40.0,2,40,25186
25187,82,3,0,4,59,838,811,1,2,0.0,2,0,25187
25188,76,3,0,4,59,838,811,1,2,40.0,2,40,25188
25189,28,3,0,66,106,205,215,1,2,50.0,2,50,25189
25190,70,3,0,4,61,503,513,1,2,90.0,2,90,25190
25191,63,3,0,4,61,503,513,1,2,0.0,2,0,25191
25192,45,3,0,4,61,205,215,1,2,50.0,2,50,25192
25193,36,3,0,4,61,205,215,1,2,50.0,2,50,25193
25194,69,3,0,4,61,503,513,1,2,0.0,2,0,25194
25195,66,3,0,4,61,503,513,1,2,90.0,2,90,25195
25196,82,3,0,4,59,801,811,1,2,20.0,2,20,25196
25197,25,3,0,52,50,205,215,1,2,30.0,2,30,25197
25198,9,3,0,52,50,205,215,1,2,0.0,2,0,25198
25199,30,3,0,66,56,241,215,1,1,75.0,1,75,25199
25200,32,3,0,66,97,241,215,1,2,90.0,2,90,25200
25201,44,3,0,4,61,183,215,1,2,70.0,2,70,25201
25202,46,3,0,4,59,183,215,1,2,60.0,2,60,25202
25203,9,3,0,13,50,183,215,2,7,500.0,7,500,25203
25204,56,3,0,13,50,183,215,1,4,0.0,4,0,25204
25205,13,3,0,13,50,183,215,1,4,400.0,4,400,25205
25206,42,3,0,13,50,183,215,2,7,800.0,7,800,25206
25207,29,3,0,13,50,183,215,1,1,300.0,1,300,25207
25208,52,3,0,13,50,183,215,2,6,50.0,6,50,25208
25209,39,3,0,13,50,183,215,1,1,800.0,1,800,25209
25210,49,3,0,13,50,183,215,1,4,30.0,4,30,25210
25211,37,3,0,13,50,183,215,3,6,800.0,6,800,25211
25212,31,3,0,13,50,183,215,1,1,800.0,1,800,25212
25213,35,3,0,69,50,183,215,1,2,20.0,2,20,25213
25214,39,3,0,69,50,183,215,1,1,80.0,1,80,25214
25215,11,3,0,69,50,183,215,1,3,0.0,3,0,25215
25216,31,3,0,69,50,183,215,2,4,70.0,4,70,25216
25217,13,3,0,69,50,183,215,1,2,30.0,2,30,25217
25218,23,3,0,69,50,183,215,1,2,0.0,2,0,25218
25219,26,3,0,69,50,183,215,4,8,90.0,8,90,25219
25220,19,3,0,52,50,183,215,1,2,10.0,2,10,25220
25221,24,3,0,70,24,183,215,1,1,0.0,1,0,25221
25222,2,3,0,13,48,183,215,1,3,400.0,3,400,25222
25223,5,3,0,13,48,183,215,1,3,300.0,3,300,25223
25224,60,3,0,4,61,549,513,1,2,50.0,2,50,25224
25225,35,3,0,4,61,251,215,1,2,40.0,2,40,25225
25226,48,3,0,4,61,251,215,1,2,50.0,2,50,25226
25227,34,3,0,66,56,211,215,1,2,50.0,2,50,25227
25228,45,3,0,69,56,211,215,1,1,0.0,1,0,25228
25229,56,3,0,69,50,211,215,1,0,0.0,0,0,25229
25230,1,3,0,1,50,211,215,1,1,0.0,1,0,25230
25231,49,3,0,23,48,211,215,1,0,0.0,0,0,25231
25232,68,3,0,23,48,509,513,1,3,0.0,3,0,25232
25233,8,3,0,10,48,211,215,10,27,0.0,27,0,25233
25234,19,3,0,5,48,211,215,1,3,0.0,3,0,25234
25235,47,3,0,23,53,211,215,1,1,0.0,1,0,25235
25236,29,3,0,66,104,214,215,1,2,50.0,2,50,25236
25237,31,3,0,64,44,196,215,3,6,300.0,6,300,25237
25238,29,3,0,66,106,257,215,2,4,30.0,4,30,25238
25239,30,3,0,66,106,257,215,1,2,50.0,2,50,25239
25240,35,3,0,66,106,257,215,1,2,50.0,2,50,25240
25241,33,3,0,66,106,257,215,1,2,100.0,2,100,25241
25242,69,3,0,69,56,555,513,1,1,50.0,1,50,25242
25243,39,3,0,17,56,257,215,1,2,0.0,2,0,25243
25244,82,3,0,79,97,853,811,1,1,80.0,1,80,25244
25245,79,3,0,79,48,853,811,1,1,0.0,1,0,25245
25246,24,3,0,66,106,228,206,1,0,60.0,0,60,25246
25247,47,3,0,55,106,228,206,1,3,232.0,3,232,25247
25248,45,3,0,55,106,228,206,1,0,18.0,0,18,25248
25249,60,3,0,55,14,526,504,1,0,200.0,0,200,25249
25250,13,3,0,75,24,228,206,1,2,0.0,2,0,25250
25251,35,3,0,29,48,162,206,1,2,67.0,2,67,25251
25252,68,3,0,68,89,538,504,1,8,0.0,8,0,25252
25253,69,3,0,68,89,538,504,1,14,0.0,14,0,25253
25254,38,3,0,63,64,250,206,1,8,0.0,8,0,25254
25255,47,3,0,63,64,250,206,1,6,0.0,6,0,25255
25256,14,3,0,68,89,178,206,1,2,0.0,2,0,25256
25257,35,3,0,29,48,178,206,1,2,67.0,2,67,25257
25258,68,3,0,34,104,475,504,1,5,0.0,5,0,25258
25259,49,3,0,29,104,178,206,1,3,76.0,3,76,25259
25260,62,3,0,45,57,554,504,1,8,0.0,8,0,25260
25261,64,3,0,45,57,554,504,1,7,0.0,7,0,25261
25262,65,3,0,45,57,554,504,1,8,0.0,8,0,25262
25263,15,2,0,9,89,256,206,3,1,0.0,57,685,25263
25264,5,2,0,9,89,256,206,5,30,123.0,88,1080,25264
25265,1,2,0,9,89,256,206,1,3,5.0,19,234,25265
25266,4,2,0,9,89,256,206,4,82,69.0,151,1830,25266
25267,0,2,0,9,89,256,206,10,40,40.0,197,2367,25267
25268,3,2,0,9,89,256,206,1,1,0.0,14,178,25268
25269,16,2,0,9,89,256,206,4,63,595.0,75,908,25269
25270,52,3,0,70,43,256,206,1,7,50.0,7,50,25270
25271,50,3,0,34,106,256,206,1,4,0.0,4,0,25271
25272,23,3,0,29,106,256,206,1,3,69.0,3,69,25272
25273,1,3,0,70,41,256,206,1,5,0.0,5,0,25273
25274,49,3,0,45,64,256,206,1,8,0.0,8,0,25274
25275,51,3,0,32,65,256,206,1,8,0.0,8,0,25275
25276,49,3,0,34,61,256,206,1,3,0.0,3,0,25276
25277,73,3,0,34,104,852,802,1,6,0.0,6,0,25277
25278,30,3,0,34,104,256,206,1,5,0.0,5,0,25278
25279,49,3,0,29,104,256,206,1,2,75.0,2,75,25279
25280,35,3,0,29,53,256,206,1,2,67.0,2,67,25280
25281,18,3,0,32,42,204,206,1,4,0.0,4,0,25281
25282,55,3,0,50,42,204,206,1,0,0.0,0,0,25282
25283,44,3,0,50,42,204,206,1,4,0.0,4,0,25283
25284,62,3,0,50,42,502,504,1,2,0.0,2,0,25284
25285,53,3,0,70,43,204,206,1,5,0.0,5,0,25285
25286,69,3,0,29,106,502,504,1,2,10.0,2,10,25286
25287,26,3,0,29,106,204,206,1,2,73.0,2,73,25287
25288,68,3,0,29,106,502,504,2,4,223.0,4,223,25288
25289,67,3,0,29,106,502,504,1,2,15.0,2,15,25289
25290,58,3,0,29,106,204,206,1,2,100.0,2,100,25290
25291,61,3,0,29,106,502,504,1,2,6.0,2,6,25291
25292,62,3,0,29,106,502,504,1,1,150.0,1,150,25292
25293,66,3,0,29,106,502,504,1,1,21.0,1,21,25293
25294,72,3,0,29,106,800,802,1,3,23.0,3,23,25294
25295,81,3,0,29,106,800,802,1,2,110.0,2,110,25295
25296,15,3,0,47,106,204,206,1,1,0.0,1,0,25296
25297,50,3,0,45,64,204,206,1,7,0.0,7,0,25297
25298,4,3,0,70,91,204,206,1,11,100.0,11,100,25298
25299,4,3,0,70,24,204,206,1,18,0.0,18,0,25299
25300,2,3,0,70,24,204,206,1,6,100.0,6,100,25300
25301,80,3,0,34,104,800,802,1,3,0.0,3,0,25301
25302,76,3,0,29,104,800,802,2,11,121.0,11,121,25302
25303,52,3,0,29,104,204,206,1,2,75.0,2,75,25303
25304,83,3,0,29,104,800,802,1,4,0.0,4,0,25304
25305,78,3,0,45,57,839,802,1,8,0.0,8,0,25305
25306,71,3,0,45,57,541,504,1,8,0.0,8,0,25306
25307,4,3,0,70,41,201,206,1,7,0.0,7,0,25307
25308,33,2,0,71,16,201,206,1,2,512.0,19,5000,25308
25309,20,3,0,75,24,201,206,1,18,400.0,18,400,25309
25310,27,3,0,29,50,234,206,4,8,264.0,8,264,25310
25311,33,3,0,29,50,234,206,2,4,152.0,4,152,25311
25312,40,3,0,29,48,234,206,1,2,68.0,2,68,25312
25313,35,3,0,29,48,234,206,1,2,67.0,2,67,25313
25314,25,3,0,29,53,234,206,3,7,225.0,7,225,25314
25315,19,3,0,29,53,234,206,1,2,62.0,2,62,25315
25316,23,3,0,29,53,234,206,1,2,68.0,2,68,25316
25317,32,3,0,29,53,234,206,1,2,72.0,2,72,25317
25318,29,3,0,29,53,234,206,1,2,59.0,2,59,25318
25319,17,3,0,29,53,234,206,2,4,146.0,4,146,25319
25320,31,3,0,29,53,234,206,1,2,59.0,2,59,25320
25321,21,3,0,29,53,234,206,1,2,55.0,2,55,25321
25322,30,3,0,29,53,234,206,1,3,81.0,3,81,25322
25323,20,3,0,29,53,234,206,2,4,120.0,4,120,25323
25324,24,3,0,29,53,234,206,2,4,130.0,4,130,25324
25325,36,2,0,9,89,253,206,7,11,0.0,105,1296,25325
25326,36,2,0,9,74,253,206,2,3,0.0,34,411,25326
25327,42,3,0,62,52,253,206,1,2,0.0,2,0,25327
25328,45,2,0,71,16,197,206,1,3,170.0,19,5000,25328
25329,20,3,0,29,53,175,206,1,2,60.0,2,60,25329
25330,46,3,0,29,106,221,206,1,2,78.0,2,78,25330
25331,22,3,0,70,24,221,206,1,5,100.0,5,100,25331
25332,33,3,0,70,24,221,206,1,5,110.0,5,110,25332
25333,30,3,0,75,24,221,206,1,7,100.0,7,100,25333
25334,15,3,0,34,104,221,206,1,5,0.0,5,0,25334
25335,14,3,0,34,104,221,206,1,4,0.0,4,0,25335
25336,52,3,0,34,104,221,206,1,4,0.0,4,0,25336
25337,17,3,0,29,53,221,206,1,2,73.0,2,73,25337
25338,23,3,0,29,53,221,206,2,4,136.0,4,136,25338
25339,24,3,0,29,53,221,206,1,2,65.0,2,65,25339
25340,44,3,0,0,41,183,206,1,1,0.0,1,0,25340
25341,45,2,0,71,16,248,206,1,0,3222.0,19,5000,25341
25342,82,3,0,50,42,841,802,1,3,0.0,3,0,25342
25343,43,3,0,50,42,245,206,1,6,0.0,6,0,25343
25344,49,3,0,70,43,245,206,1,7,0.0,7,0,25344
25345,20,3,0,63,64,245,206,1,7,0.0,7,0,25345
25346,12,3,0,70,24,245,206,1,14,170.0,14,170,25346
25347,21,3,0,29,106,210,206,1,3,81.0,3,81,25347
25348,19,3,0,29,104,210,206,1,2,62.0,2,62,25348
25349,41,3,0,29,53,210,206,1,2,69.0,2,69,25349
25350,63,3,0,50,42,523,504,1,6,0.0,6,0,25350
25351,81,3,0,45,57,821,802,1,8,0.0,8,0,25351
25352,76,3,0,45,57,821,802,1,0,0.0,0,0,25352
25353,13,3,0,68,89,225,206,1,10,0.0,10,0,25353
25354,46,3,0,68,89,225,206,1,1,0.0,1,0,25354
25355,64,3,0,70,43,523,504,1,4,0.0,4,0,25355
25356,53,3,0,70,43,225,206,1,6,30.0,6,30,25356
25357,53,3,0,34,106,225,206,1,4,0.0,4,0,25357
25358,23,3,0,66,106,225,206,1,1,0.0,1,0,25358
25359,24,3,0,29,106,225,206,2,4,130.0,4,130,25359
25360,49,3,0,29,106,225,206,2,6,144.0,6,144,25360
25361,26,3,0,29,106,225,206,1,2,73.0,2,73,25361
25362,47,3,0,29,106,225,206,4,9,273.0,9,273,25362
25363,54,3,0,29,106,225,206,3,3,95.0,3,95,25363
25364,62,3,0,29,106,523,504,15,27,881.0,27,881,25364
25365,53,3,0,29,106,225,206,2,2,320.0,2,320,25365
25366,52,3,0,64,41,225,206,1,8,100.0,8,100,25366
25367,18,3,0,64,41,225,206,1,8,0.0,8,0,25367
25368,39,3,0,63,64,225,206,1,7,0.0,7,0,25368
25369,46,3,0,63,64,225,206,1,7,0.0,7,0,25369
25370,44,3,0,63,64,225,206,1,7,0.0,7,0,25370
25371,34,3,0,0,16,225,206,1,0,3500.0,0,3500,25371
25372,11,3,0,10,62,225,206,1,4,0.0,4,0,25372
25373,33,3,0,70,91,225,206,1,14,0.0,14,0,25373
25374,11,3,0,75,91,225,206,1,17,0.0,17,0,25374
25375,55,3,0,47,61,225,206,1,6,100.0,6,100,25375
25376,32,3,0,29,50,225,206,1,2,72.0,2,72,25376
25377,30,3,0,29,50,225,206,12,25,818.0,25,818,25377
25378,34,3,0,29,50,225,206,1,2,67.0,2,67,25378
25379,29,3,0,29,50,225,206,1,2,59.0,2,59,25379
25380,18,3,0,29,50,225,206,1,2,75.0,2,75,25380
25381,28,3,0,29,50,225,206,7,14,399.0,14,399,25381
25382,27,3,0,29,50,225,206,15,30,990.0,30,990,25382
25383,31,3,0,29,50,225,206,4,8,230.0,8,230,25383
25384,25,3,0,29,50,225,206,7,15,525.0,15,525,25384
25385,37,3,0,29,50,225,206,14,28,1050.0,28,1050,25385
25386,17,3,0,29,50,225,206,3,6,219.0,6,219,25386
25387,33,3,0,29,50,225,206,13,26,988.0,26,988,25387
25388,26,3,0,29,50,225,206,1,2,73.0,2,73,25388
25389,8,3,0,70,24,225,206,1,7,120.0,7,120,25389
25390,46,3,0,70,24,225,206,1,19,40.0,19,40,25390
25391,24,3,0,70,24,225,206,2,7,50.0,7,50,25391
25392,18,3,0,70,24,225,206,1,18,45.0,18,45,25392
25393,35,3,0,29,48,225,206,20,40,1340.0,40,1340,25393
25394,43,3,0,29,48,225,206,8,9,545.0,9,545,25394
25395,45,3,0,29,48,225,206,5,10,345.0,10,345,25395
25396,37,3,0,29,48,225,206,1,2,75.0,2,75,25396
25397,39,3,0,29,48,225,206,2,3,134.0,3,134,25397
25398,36,3,0,29,48,225,206,24,48,1416.0,48,1416,25398
25399,41,3,0,29,48,225,206,2,4,138.0,4,138,25399
25400,38,3,0,29,48,225,206,10,20,670.0,20,670,25400
25401,34,3,0,29,48,225,206,7,14,469.0,14,469,25401
25402,44,3,0,29,48,225,206,5,6,335.0,6,335,25402
25403,46,3,0,29,48,225,206,5,6,382.0,6,382,25403
25404,42,3,0,29,48,225,206,4,6,234.0,6,234,25404
25405,40,3,0,29,48,225,206,3,4,194.0,4,194,25405
25406,53,3,0,3,104,225,206,1,3,0.0,3,0,25406
25407,29,3,0,34,104,225,206,2,6,0.0,6,0,25407
25408,73,3,0,34,104,821,802,1,4,0.0,4,0,25408
25409,72,3,0,34,104,821,802,1,6,0.0,6,0,25409
25410,31,3,0,29,104,225,206,1,3,59.0,3,59,25410
25411,63,3,0,29,53,523,504,15,21,1447.0,21,1447,25411
25412,19,3,0,29,53,225,206,10,20,620.0,20,620,25412
25413,26,3,0,29,53,225,206,7,14,511.0,14,511,25413
25414,24,3,0,29,53,225,206,27,54,1755.0,54,1755,25414
25415,18,3,0,29,53,225,206,11,22,825.0,22,825,25415
25416,57,3,0,29,53,225,206,16,20,924.0,20,924,25416
25417,31,3,0,29,53,225,206,4,8,230.0,8,230,25417
25418,25,3,0,29,53,225,206,11,23,825.0,23,825,25418
25419,64,3,0,29,53,523,504,11,19,758.0,19,758,25419
25420,22,3,0,29,53,225,206,16,33,887.0,33,887,25420
25421,51,3,0,29,53,225,206,9,10,546.0,10,546,25421
25422,54,3,0,29,53,225,206,16,16,2244.0,16,2244,25422
25423,60,3,0,29,53,523,504,21,30,1431.0,30,1431,25423
25424,49,3,0,29,53,225,206,8,16,509.0,16,509,25424
25425,30,3,0,29,53,225,206,4,9,282.0,9,282,25425
25426,65,3,0,29,53,523,504,1,2,100.0,2,100,25426
25427,17,3,0,29,53,225,206,6,12,438.0,12,438,25427
25428,21,3,0,29,53,225,206,10,20,550.0,20,550,25428
25429,29,3,0,29,53,225,206,10,20,590.0,20,590,25429
25430,23,3,0,29,53,225,206,5,10,340.0,10,340,25430
25431,59,3,0,29,53,225,206,7,10,811.0,10,811,25431
25432,61,3,0,29,53,523,504,25,40,1636.0,40,1636,25432
25433,39,3,0,29,53,225,206,5,6,335.0,6,335,25433
25434,53,3,0,29,53,225,206,11,11,2746.0,11,2746,25434
25435,56,3,0,29,53,225,206,8,13,469.0,13,469,25435
25436,58,3,0,29,53,225,206,16,20,1140.0,20,1140,25436
25437,32,3,0,29,53,225,206,4,8,267.0,8,267,25437
25438,28,3,0,29,53,225,206,8,16,456.0,16,456,25438
25439,27,3,0,29,53,225,206,8,16,528.0,16,528,25439
25440,40,3,0,29,53,225,206,10,11,635.0,11,635,25440
25441,41,3,0,29,53,225,206,5,7,342.0,7,342,25441
25442,48,3,0,29,53,225,206,15,37,1004.0,37,1004,25442
25443,20,3,0,29,53,225,206,7,14,420.0,14,420,25443
25444,36,3,0,29,53,225,206,3,6,177.0,6,177,25444
25445,52,3,0,29,53,225,206,19,25,1056.0,25,1056,25445
25446,55,3,0,29,53,225,206,11,12,1317.0,12,1317,25446
25447,50,3,0,29,53,225,206,12,21,670.0,21,670,25447
25448,47,3,0,29,53,225,206,11,22,742.0,22,742,25448
25449,46,3,0,29,53,225,206,2,4,154.0,4,154,25449
25450,66,3,0,48,87,523,504,1,5,0.0,5,0,25450
25451,53,3,0,48,87,225,206,1,7,0.0,7,0,25451
25452,77,3,0,45,57,782,802,1,6,0.0,6,0,25452
25453,1,0,0,9,89,484,206,1,5,0.0,19,390,25453
25454,26,2,0,9,89,484,206,18,100,158.0,342,6110,25454
25455,25,2,0,9,89,484,206,18,109,511.0,363,4349,25455
25456,12,2,0,9,89,484,206,29,190,132.0,549,6652,25456
25457,15,2,0,9,89,484,206,22,135,280.0,424,5117,25457
25458,4,2,0,9,89,484,206,23,76,242.0,428,5196,25458
25459,21,2,0,9,89,484,206,20,131,1445.0,399,4793,25459
25460,19,2,0,9,89,484,206,29,187,58.0,551,6831,25460
25461,27,2,0,9,89,484,206,14,76,119.0,282,3385,25461
25462,8,2,0,9,89,484,206,23,84,153.0,441,5331,25462
25463,30,2,0,9,89,484,206,13,65,75.0,248,2913,25463
25464,0,2,0,9,89,484,206,29,205,66.0,568,6838,25464
25465,32,2,0,9,89,484,206,8,31,24.0,154,1810,25465
25466,3,2,0,9,89,484,206,26,109,150.0,507,6107,25466
25467,17,2,0,9,89,484,206,26,177,578.0,500,6137,25467
25468,13,2,0,9,89,484,206,27,160,312.0,493,6253,25468
25469,11,2,0,9,89,484,206,30,387,285.0,580,6999,25469
25470,29,2,0,9,89,484,206,14,59,71.0,268,3308,25470
25471,6,2,0,9,89,484,206,28,114,85.0,542,6538,25471
25472,9,2,0,9,89,484,206,31,175,196.0,562,6861,25472
25473,23,2,0,9,89,484,206,26,346,849.0,424,5117,25473
25474,7,2,0,9,89,484,206,25,107,171.0,479,5789,25474
25475,20,2,0,9,89,484,206,21,108,393.0,390,5007,25475
25476,31,2,0,9,89,484,206,7,12,50.0,75,1010,25476
25477,5,2,0,9,89,484,206,23,91,126.0,426,5178,25477
25478,24,2,0,9,89,484,206,21,130,605.0,399,6510,25478
25479,28,2,0,9,89,484,206,10,54,5.0,190,2235,25479
25480,2,2,0,9,89,484,206,27,145,160.0,528,2890,25480
25481,1,2,0,9,89,484,206,29,172,55.0,543,6551,25481
25482,16,2,0,9,89,484,206,28,206,1755.0,539,6507,25482
25483,14,2,0,9,89,484,206,30,181,489.0,566,6861,25483
25484,18,2,0,9,89,484,206,28,166,1558.0,520,6623,25484
25485,22,2,0,9,89,484,206,24,158,1470.0,456,7970,25485
25486,10,2,0,9,89,484,206,27,141,183.0,512,6201,25486
25487,13,3,0,68,89,484,206,1,9,0.0,9,0,25487
25488,46,3,0,34,106,484,206,1,4,0.0,4,0,25488
25489,47,3,0,34,106,484,206,1,4,0.0,4,0,25489
25490,22,3,0,34,106,484,206,1,2,0.0,2,0,25490
25491,41,3,0,34,106,484,206,1,1,0.0,1,0,25491
25492,48,3,0,34,106,484,206,1,4,0.0,4,0,25492
25493,56,3,0,29,106,484,206,1,1,129.0,1,129,25493
25494,49,3,0,29,106,484,206,2,5,143.0,5,143,25494
25495,57,3,0,29,106,484,206,1,2,100.0,2,100,25495
25496,24,3,0,29,106,484,206,1,2,65.0,2,65,25496
25497,68,3,0,29,106,484,504,2,4,230.0,4,230,25497
25498,69,3,0,29,106,484,504,1,2,12.0,2,12,25498
25499,44,3,0,29,106,484,206,3,6,210.0,6,210,25499
25500,23,3,0,29,106,484,206,10,22,682.0,22,682,25500
25501,59,3,0,29,106,484,206,1,2,125.0,2,125,25501
25502,41,3,0,81,106,484,206,1,2,0.0,2,0,25502
25503,65,3,0,0,41,484,504,1,2,0.0,2,0,25503
25504,66,3,0,34,61,484,504,1,0,0.0,0,0,25504
25505,34,3,0,34,61,484,206,2,5,0.0,5,0,25505
25506,70,3,0,34,61,484,504,1,2,0.0,2,0,25506
25507,74,3,0,34,61,782,802,2,4,0.0,4,0,25507
25508,59,3,0,34,61,484,206,2,8,0.0,8,0,25508
25509,57,3,0,34,61,484,206,1,3,0.0,3,0,25509
25510,55,3,0,34,61,484,206,1,6,0.0,6,0,25510
25511,80,3,0,34,61,782,802,1,3,0.0,3,0,25511
25512,75,3,0,34,61,782,802,1,0,0.0,0,0,25512
25513,72,3,0,34,61,782,802,3,7,0.0,7,0,25513
25514,44,3,0,34,61,484,206,2,8,0.0,8,0,25514
25515,69,3,0,34,61,484,504,1,2,0.0,2,0,25515
25516,49,3,0,34,61,484,206,1,5,0.0,5,0,25516
25517,31,3,0,34,61,484,206,1,7,0.0,7,0,25517
25518,75,3,0,76,52,782,802,1,3,0.0,3,0,25518
25519,25,3,0,29,50,484,206,1,2,75.0,2,75,25519
25520,28,3,0,29,50,484,206,1,2,57.0,2,57,25520
25521,34,3,0,29,50,484,206,1,2,67.0,2,67,25521
25522,11,3,0,70,24,484,206,1,6,0.0,6,0,25522
25523,52,3,0,3,104,484,206,1,2,0.0,2,0,25523
25524,47,3,0,34,104,484,206,1,2,0.0,2,0,25524
