,IDAeropuerto,Sigla,IATA,NombreAeropuerto,Categoria,Latitud,Longitud,Municipio,Departamento,Propietario,Explotador,LongitudPista,AnchoPista,PBMO,Elevacion,Resolucion,Clase,Tipo,GCD_Municipio,GCD_Departamento,FechaInicioVigencia,FechaFinVigencia,VersionDelRegistro,Anio
104,666,9CD,no-especificado,VARSOVIA,Aeródromo,5.849,-70.3648,Paz de Ariporo,Casanare,MUNICIPIO,MUNICIPIO,40,60,2000,328,"4,541,000",1A,Público,85250,85,2016-01-01,2300-01-01,S,2016
105,667,9CE,no-especificado,LA HERMOSA,Aeródromo,5.5307,-70.4497,Paz de Ariporo,Casanare,MUNICIPIO,MUNICIPIO,72,0,2000,338,"4,541,000",1A,Privado,85250,85,2016-01-01,2300-01-01,S,2016
106,668,9CF,no-especificado,SAN ESTEBAN,Aeródromo,5.4441,-70.8352,Paz de Ariporo,Casanare,MUNICIPIO,MUNICIPIO,40,63,2000,377,"4,541,000",1A,Fumigación,85250,85,2016-01-01,2300-01-01,S,2016
107,669,9CG,no-especificado,SAN JOSE DEL ARIPORO,Aeródromo,6.0475,-70.0128,Paz de Ariporo,Casanare,MUNICIPIO,MUNICIPIO,1142,50,2000,318,"4,541,000",1A,Aerocivil,85250,85,2016-01-01,2300-01-01,S,2016
108,670,9CH,no-especificado,COLINERAS,Aeródromo,6.0713,-70.3678,Paz de Ariporo,Casanare,MUNICIPIO,MUNICIPIO,126,0,2000,338,"4,541,000",1A,Público,85250,85,2016-01-01,2300-01-01,S,2016
109,671,9CI,no-especificado,LA CAIMANA,Aeródromo,6.052,-70.8134,Paz de Ariporo,Casanare,MUNICIPIO,MUNICIPIO,29,0,2000,400,"4,541,000",1A,Fumigación,85250,85,2016-01-01,2300-01-01,S,2016
110,672,9CJ,no-especificado,EMAUS,Aeródromo,5.1483,-71.0453,San Luis de Palenque,Casanare,LUIS F. CASTILLO SANTOS,LUIS F. CASTILLO SANTOS,2672,21,2500,430,"1,945,000",1A,Público,85325,85,2016-01-01,2300-01-01,S,2016
111,673,9CK,no-especificado,SANTA MARIA DEL CAFÉ,Aeródromo,6.1111,-70.9888,Hato Corozal,Casanare,MUNICIPIO,EL MISMO,1953,100,2000,427,"4,543,000",1A,Público,85125,85,2016-01-01,2300-01-01,S,2016
112,674,9CL,no-especificado,LA VENTUROSA,Aeródromo,5.2388,-71.3035,San Luis de Palenque,Casanare,MUNICIPIO,EL MISMO,44,3,2000,459,"4,542,000",1A,Público,85325,85,2016-01-01,2300-01-01,S,2016
113,675,9CM,no-especificado,MIRAMAR DE GUANAPALO,Aeródromo,5.0541,-71.0012,San Luis de Palenque,Casanare,MUNICIPIO,EL MISMO,1711,52,2000,394,"4,542,000",1A,Aerocivil,85325,85,2016-01-01,2300-01-01,S,2016
114,676,9CP,no-especificado,LA SALVACION,Aeródromo,5.9988,-70.6316,Paz de Ariporo,Casanare,ALCALDIA,ALCALDIA,2383,0,2000,384,"4,807,000",1A,Fumigación,85250,85,2016-01-01,2300-01-01,S,2016
115,677,9CQ,no-especificado,LOMA GRANDE - CA,Aeródromo,8.2937,-75.1176,Ayapel,Córdoba,O.V. OROZCO Y CIA. S.C.A.,EL MISMO,2,2,400,1280,"3,341,000",UL,Aerocivil,23068,23,2016-01-01,2300-01-01,S,2016
116,678,9CR,no-especificado,EL CAPRICHO,Aeródromo,4.2018,-72.1632,Puerto Gaitán,Meta,JORGE E. SALAZAR B.,EL MISMO,13,48,4500,551,"329,000",1A,Aerocivil,50568,50,2016-01-01,2300-01-01,S,2016
117,679,9CU,no-especificado,COROCORA,Aeródromo,5.3751,-70.969,Trinidad,Casanare,DORA AVELLA VDA.DE PAN,PERENCO COLOMBIA LIMITED,0,0,5000,430,"1,000,000",1A,Fumigación,85430,85,2016-01-01,2300-01-01,S,2016
118,680,9CX,no-especificado,SAN JUAN,Aeródromo,4.8437,-72.3006,Maní,Casanare,MARIA ILSE BERRIO,AGIL LTDA.,2774,44,2000,591,"1,055,000",1A,Aerocivil,85139,85,2016-01-01,2300-01-01,S,2016
119,681,9CY,no-especificado,LA MEJOR,Aeródromo,4.1538,-73.3205,Restrepo,Meta,JOSE A. REINA P.,SADELL S.A.S.,1590,14,2000,844,"1,125,000",1A,Fumigación,50606,50,2016-01-01,2300-01-01,S,2016
120,682,9CZ,no-especificado,GRISMANIA,Aeródromo,4.989,-72.5099,Aguazul,Casanare,LUZ MARINA VARGAS,SFA LTDA.,169,3,2000,669,"6,670,000",1A,Público,85010,85,2016-01-01,2300-01-01,S,2016
121,683,9DA,no-especificado,BALMORAL,Aeródromo,4.8864,-72.3439,Maní,Casanare,MELIDA OVALLE Y OTROS,AEROTEC LTDA.,1313,9,2000,652,"694,000",1A,Público,85139,85,2016-01-01,2300-01-01,S,2016
122,684,9DB,no-especificado,PALMAS DE TUMACO  -CA,Aeródromo,1.496,-78.765,San Andrés de Tumaco,Nariño,PALMAS DE TUMACO S.A.,PALMAS DE TUMACO S.A.,950,22,500,136,"1,897,000",UL,Fumigación,52835,52,2016-01-01,2300-01-01,S,2016
123,685,9DC,no-especificado,INGENIO LA CARMELITA,Aeródromo,4.0727,-76.316,Riofrío,Valle del Cauca,SOCIEDAD GARRIDO,ING. LA CARMELITA,66,0,500,3087,"2,961,000",1A,Aerocivil,76616,76,2016-01-01,2300-01-01,S,2016
124,686,9DE,no-especificado,LUNA PARK,Aeródromo,5.128,-70.4931,La Primavera,Vichada,DAVID ALFONSO MATTOS L.,DAVID ALFONSO MATTOS,6604,1,12000,410,"1,056,000",1A,Fumigación,99524,99,2016-01-01,2300-01-01,S,2016
125,687,9DG,no-especificado,EL LAGO - CA,Aeródromo,4.5575,-74.9003,Piedras,Tolima,BERNEY RODRIGUEZ,OSMANI RODRIGUEZ CARDOZO,784,0,500,1050,"6,744,000",UL,Privado,73547,73,2016-01-01,2300-01-01,S,2016
126,688,9DH,no-especificado,HACIENDA LA JOYA,Aeródromo,9.6179,-74.8367,Córdoba,Bolívar,TRIPENTA S.A.,AGROTEMPO LTDA.,12,32,2000,82,"9,000",1A,Privado,13212,13,2016-01-01,2300-01-01,S,2016
127,689,9DI,no-especificado,SAN FELIPE,Aeródromo,1.915,-67.0776,San Felipe,Guainía,GOBERNACION,GOBERNACION,3701,59,25000,312,"545,000",1A,Aerocivil,94883,94,2016-01-01,2300-01-01,S,2016
128,690,9DJ,no-especificado,LA PAULINA,Aeródromo,9.9129,-73.4795,La Paz,Cesar,AMA LTDA.,AMA LTDA.,3729,45,2000,210,"3,939,000",1A,Público,20621,20,2016-01-01,2300-01-01,S,2016
129,691,9DK,no-especificado,EL VATICANO,Aeródromo,4.287,-73.1876,Paratebueno,Cundinamarca,ROMULO PINEDA GARCIA,HELICE LTDA.,68,20,2000,738,"999,000",1A,Privado,25530,25,2016-01-01,2300-01-01,S,2016
130,692,9DL,no-especificado,LA PASTORA,Aeródromo,6.798,-70.9777,Arauca,Arauca,SAO E.U,SAO E.U.,3135,47,2000,600,"2,139,000",1A,Privado,81001,81,2016-01-01,2300-01-01,S,2016
131,693,9DM,no-especificado,LA VEREMOS,Aeródromo,5.338,-71.6004,San Luis de Palenque,Casanare,ALVARO PEREZ,HELICE LTDA.,737,27,2000,574,"119,000",1A,Fumigación,85325,85,2016-01-01,2300-01-01,S,2016
132,694,9DN,no-especificado,SAN FRANCISCO,Aeródromo,4.26,-71.9146,Puerto Gaitán,Meta,PROYECTOS LA FAZENDA,AGROPECUARIA ALIAR S.A.,527,4,5000,712,"5,521,000",2A,Fumigación,50568,50,2016-01-01,2300-01-01,S,2016
133,695,9DO,no-especificado,TALANQUERA,Aeródromo,4.141,-73.032,Puerto López,Meta,FERNANDO TOVAR TAMAYO,COMERCIALIZADORA ECO,4,1,2000,179,"6,016,000",1A,Público,50573,50,2016-01-01,2300-01-01,S,2016
134,696,9LD,no-especificado,LA LUCHA,Aeródromo,10.97,-74.1833,Ciénaga,Magdalena,FUMIGARAY S.A.,FUMIGARAY S.A.,85,30,3600,567,"5,967,000",1A,Público,47189,47,2016-01-01,2300-01-01,S,2016
135,697,9LG,no-especificado,VILLA GEORGINA,Aeródromo,4.3625,-74.3214,Tauramena,Casanare,SANTIAGO PULIDO NIÑO,COMERCIALIZAD. ECO,0,27,2000,594,no-especificado,1A,Privado,85410,85,2016-01-01,2300-01-01,S,2016
136,698,9LH,no-especificado,INGENIO PICHICHI,Aeródromo,3.5347,-76.1653,Guacarí,Valle del Cauca,INGENIO PICHICHI S.A.,INGENIO PICHICHI,1123,22,500,3215,"2,951,000",1A,Aerocivil,76318,76,2016-01-01,2300-01-01,S,2016
137,699,9LI,no-especificado,SAN SEBASTIAN,Aeródromo,4.3356,-72.7803,Cabuyaro,Meta,NELLY ZARATE,AEROTEC LTDA.,2808,44,2000,680,"4,738,000",1A,Privado,50124,50,2016-01-01,2300-01-01,S,2016
138,700,9LJ,no-especificado,EL COROZO,Aeródromo,6.9136,-70.8562,Arauca,Arauca,NEBIO ECHEVERRY,FUMIVILLA,2929,20,2000,416,"2,141,000",1A,Privado,81001,81,2016-01-01,2300-01-01,S,2016
139,701,9LK,no-especificado,HATO VIEJO,Aeródromo,6.8964,-70.7791,Arauca,Arauca,COMERCIALIZADORA EL PROVEEDOR LTDA.,FUMIVILLA,5282,0,2000,416,"2,141,000",1A,Privado,81001,81,2016-01-01,2300-01-01,S,2016
140,702,9LL,no-especificado,CIENFUEGOS,Aeródromo,5.5831,-71.7289,Paz de Ariporo,Casanare,JAIRO GRANADOS CEIJA,SAO E.U.,15,0,2000,574,"1,315,000",1A,Privado,85250,85,2016-01-01,2300-01-01,S,2016
141,703,9LN,no-especificado,GUADUALITO,Aeródromo,5.4593,-71.912,Nunchía,Casanare,CUPERTINO CUEVAS D.,SANAR S.A.,173,25,3000,639,"4,943,000",1A,Aerocivil,85225,85,2016-01-01,2300-01-01,S,2016
142,704,9LP,no-especificado,LA REDENCION,Aeródromo,5.6618,-71.8088,Pore,Casanare,MARIA DEL S. MONTOYA,FRANCISCO H. MARTINEZ,3695,52,2000,636,"3,053,000",1A,Fumigación,85263,85,2016-01-01,2300-01-01,S,2016
143,705,9LQ,no-especificado,LA PONDEROSA,Aeródromo,4.6316,-71.2141,Puerto Gaitán,Meta,MONICA COLOMBIA LTDA.,MONICA COLOMBIA LTDA,47,0,3000,537,"5,243,000",2A,Público,50568,50,2016-01-01,2300-01-01,S,2016
144,706,9LR,no-especificado,LOS REMANSOS,Aeródromo,6.5729,-74.2195,Cimitarra,Santander,NELLY VALENCIA,AEROPENORT LTDA.,107,0,3000,357,"4,373,000",1A,Público,68190,68,2016-01-01,2300-01-01,S,2016
145,707,9LS,no-especificado,SAN LUIS,Aeródromo,7.6382,-73.4381,La Esperanza,Norte de Santander,CRIAGAN S.A.,AEROPENORT LTDA.,562,20,2000,308,"7,389,000",1A,Aerocivil,54385,54,2016-01-01,2300-01-01,S,2016
146,708,9LT,no-especificado,LOS GAVANES (LA MATA),Aeródromo,7.0093,-70.7743,Arauca,Arauca,FUMIGAR,FUMIVILLA,89,61,3000,416,"2,141,000",1A,Fumigación,81001,81,2016-01-01,2300-01-01,S,2016
147,709,9LU,no-especificado,EL RODEO,Aeródromo,4.5772,-72.6914,Tauramena,Casanare,JEREMIAS VACA RIAÑO,ASAM LTDA.,3940,1,2000,746,"6,069,000",1A,Público,85410,85,2016-01-01,2300-01-01,S,2016
148,710,9LW,no-especificado,EL PALMAR,Aeródromo,5.396,-71.9116,Nunchía,Casanare,MAURICIO MEDINA NIÑO,FIBA S.A.,1851,58,3000,629,"472,000",1A,Privado,85225,85,2016-01-01,2300-01-01,S,2016
149,711,9LX,no-especificado,LA GAITANA,Aeródromo,4.2253,-73.0298,Cabuyaro,Meta,P.VICENTE PERALES,FACOL LTDA.,1,40,4500,627,"1,844,000",1A,Fumigación,50124,50,2016-01-01,2300-01-01,S,2016
150,712,9LY,no-especificado,SAN ISIDRO II,Aeródromo,4.1585,-73.3408,Cumaral,Meta,MARIA A PACHE OCHOA,MARIA A. PACHECO O.,76,22,2000,175,"4,730,000",1A,Aerocivil,50226,50,2016-01-01,2300-01-01,S,2016
151,713,9LZ,no-especificado,GABRIELAS,Aeródromo,3.1797,-76.5507,Jamundí,Valle del Cauca,HAROLD BENAVIDEZ,FIBA S.A.,46,36,3000,3215,"1,129,000",1A,Privado,76364,76,2016-01-01,2300-01-01,S,2016
152,714,9MA,no-especificado,EL DELIRIO,Aeródromo,6.9831,-70.882,Arauca,Arauca,CARMEN A. CABEZAS PEREZ,FUMIVILLA,2474,0,3000,430,"5,180,000",1A,Fumigación,81001,81,2016-01-01,2300-01-01,S,2016
153,715,9MB,no-especificado,EL TRIANGULO,Aeródromo,10.318,-74.0252,Fundación,Magdalena,GANADERIA EL TRIANGULO,GANADERIA EL TRIANGULO,1248,31,2000,196,"172,000",1A,Privado,47288,47,2016-01-01,2300-01-01,S,2016
154,716,9MC,no-especificado,LA MONICA,Aeródromo,4.6856,-72.6005,Tauramena,Casanare,MAURICIO TORRES CUBIDES,ASAM LTDA.,3163,21,2000,554,"4,896,000",1A,Aerocivil,85410,85,2016-01-01,2300-01-01,S,2016
155,717,9MD,no-especificado,LA ABEJITA,Aeródromo,5.0095,-72.3234,Monterrey,Casanare,JOSE A. VARGAS P.,AGIL LTDA.,0,29,2000,682,"5,479,000",1A,Aerocivil,85162,85,2016-01-01,2300-01-01,S,2016
156,718,9ME,no-especificado,CACHIMBALITO - CA,Aeródromo,3.1653,-76.4738,Santander de Quilichao,Cauca,INCAUCA,INCAUCA.S.A. - ASOCAÑA,542,54,500,3241,"2,956,000",1A,Privado,19698,19,2016-01-01,2300-01-01,S,2016
157,719,9MG,no-especificado,MADREVIEJA,Aeródromo,5.4623,-71.9584,Nunchía,Casanare,CELMIRA BARRAGAN F.,CELMIRA BARRAGAN F.,23,2,2000,640,"4,509,000",1A,Privado,85225,85,2016-01-01,2300-01-01,S,2016
158,720,9MH,no-especificado,SAN JUAN,Aeródromo,3.7017,-73.3774,San Martín,Meta,RODOLFO MENDEZ,MARIA A. PACHECO O.,2423,0,2000,870,"1,840,000",1A,Aerocivil,50689,50,2016-01-01,2300-01-01,S,2016
159,721,9MI,no-especificado,LA FORTUNA,Aeródromo,4.1028,-72.978,Puerto López,Meta,SAAC S.A.S,SAAC S.A.S,4646,0,3000,690,no-especificado,1A,Privado,50573,50,2016-01-01,2300-01-01,S,2016
160,722,9MJ,no-especificado,AGROFORESTAL MATA AZUL,Aeródromo,5.2897,-70.6337,Santa Rosalía,Vichada,no-especificado,RIOPAILA CASTILLA S.A.,2515,49,6500,118,"1,478,000",1A,Fumigación,99624,99,2016-01-01,2300-01-01,S,2016
161,723,9MK,no-especificado,VILLA ISABELLA,Aeródromo,5.2993,-71.3434,Trinidad,Casanare,RAFAEL QUESADA,TAES LTDA.,2984,1,2000,620,"4,313,000",1A,Público,85430,85,2016-01-01,2300-01-01,S,2016
162,724,9ML,no-especificado,MIRADOR,Aeródromo,5.4326,-71.6009,Trinidad,Casanare,ANGELICA VEGA,TAES LTDA.,2129,30,2000,620,"4,314,000",1A,Fumigación,85430,85,2016-01-01,2300-01-01,S,2016
163,725,9MM,no-especificado,EL CARIBE,Aeródromo,5.7198,-71.4963,Paz de Ariporo,Casanare,REGULO GAMA OJEDA,FARO LTDA.,53,0,2000,585,"1,684,000",1A,Privado,85250,85,2016-01-01,2300-01-01,S,2016
164,726,9MN,no-especificado,EL PEDRAL BONANZA,Aeródromo,7.2417,-73.8151,Puerto Wilches,Santander,no-especificado,AEROPENORT LTDA.,1150,0,3000,282,no-especificado,1A,Público,68575,68,2016-01-01,2300-01-01,S,2016
165,727,9MO,no-especificado,SAN NICOLAS,Aeródromo,4.4703,-72.4575,Tauramena,Casanare,CARLOS E. CONTRERAS,ASAM LTDA.,2268,23,2000,585,"4,510,000",1A,Aerocivil,85410,85,2016-01-01,2300-01-01,S,2016
166,728,9MP,no-especificado,LOS LOBOS,Aeródromo,4.4748,-72.7478,Tauramena,Casanare,AGROVIMART S.A.,AGIL LTDA.,299,33,3000,580,"1,685,000",1A,Privado,85410,85,2016-01-01,2300-01-01,S,2016
167,729,9MQ,no-especificado,EL RASTRO,Aeródromo,4.7022,-70.8617,Cumaribo,Vichada,EL RASTRO 1 S.A.S.,EL RASTRO  1 S.A.S,3670,38,2000,545,"7,391,000",1A,Aerocivil,99773,99,2016-01-01,2300-01-01,S,2016
168,730,9MR,no-especificado,LOS GANSOS,Aeródromo,4.6764,-70.9997,Cumaribo,Vichada,LOS GANSOS 1 S.A.S.,LOS GANSOS 1 S.AS.,214,147,2000,544,"7,390,000",1A,Fumigación,99773,99,2016-01-01,2300-01-01,S,2016
169,731,9MS,no-especificado,BETANIA,Aeródromo,5.5319,-71.6812,Trinidad,Casanare,DIOSELINO ACOSTA,SAO E.U.,397,0,2000,2030,"1,216,000",1A,Fumigación,85430,85,2016-01-01,2300-01-01,S,2016
170,732,9MT,no-especificado,AGUAS CLARAS,Aeródromo,7.2731,-73.5626,Sabana de Torres,Santander,EDGAR MEZA ORTIZ,EDGAR MEZA ORTIZ,8,1,2500,652,"1,681,000",1A,Privado,68655,68,2016-01-01,2300-01-01,S,2016
171,733,9MV,no-especificado,MARIA JUANA,Aeródromo,5.0054,-72.3959,Aguazul,Casanare,BLANCA E. BULLA PULIDO,SAAC S.A.S.,2176,2,2000,1191,"2,137,000",1A,Público,85010,85,2016-01-01,2300-01-01,S,2016
172,734,9MW,no-especificado,LAS NUBES,Aeródromo,4.2563,-71.7977,Puerto Gaitán,Meta,AGMO NUBES INVER.S.A.S,AGMO NUBES INVERSIONES,201,43,4500,1030,"1,942,000",1A,Privado,50568,50,2016-01-01,2300-01-01,S,2016
173,735,9MX,no-especificado,EL SILENCIO,Aeródromo,5.7555,-71.6583,Paz de Ariporo,Casanare,PEDRO A. VARGAS BECERRA,AEROTEC LTDA.,2653,3,2000,577,"2,130,000",1A,Privado,85250,85,2016-01-01,2300-01-01,S,2016
174,736,9MY,no-especificado,AFGANISTAN,Aeródromo,5.886,-71.408,Paz de Ariporo,Casanare,JOSE IVAN CORTES P.,SANDRA PATRICIA YATE,2265,33,2000,577,"2,131,000",1A,Privado,85250,85,2016-01-01,2300-01-01,S,2016
175,737,9MZ,no-especificado,LA FORTALEZA,Aeródromo,5.7953,-71.7571,Paz de Ariporo,Casanare,HENRY MARTINEZ C.,FAAC S.A.S.,4291,1,2000,640,"4,938,000",1A,Privado,85250,85,2016-01-01,2300-01-01,S,2016
176,738,9NA,no-especificado,LOS GUIRES,Aeródromo,6.1853,-71.521,Hato Corozal,Casanare,EDISON DELGADO,FAAC S.A.S.,2441,50,2000,538,"4,938,000",1A,Aerocivil,85125,85,2016-01-01,2300-01-01,S,2016
177,739,9NB,no-especificado,LAS PALMAS,Aeródromo,8.5803,-73.6619,La Gloria,Cesar,NAVIAGRI - NAVILOG S.A.,CELTA LTDA.,438,40,2500,554,"5,531,000",1A,Privado,20383,20,2016-01-01,2300-01-01,S,2016
178,740,9NC,no-especificado,LA DALIA,Aeródromo,6.9687,-70.962,Arauca,Arauca,HORACIO E. MARTINEZ G.,HORACIO E. MARTINEZ G.,1331,21,2500,390,"438,000",1A,Público,81001,81,2016-01-01,2300-01-01,S,2016
179,741,9ND,no-especificado,VILLA VERONICA,Aeródromo,5.3884,-71.5896,Trinidad,Casanare,CRISTINA I. GONZALEZ,TAES LTDA.,2,2,2000,564,"120,000",1A,Público,85430,85,2016-01-01,2300-01-01,S,2016
180,742,9NE,no-especificado,SAN CARLOS - CA,Aeródromo,4.0588,-76.2704,Tuluá,Valle del Cauca,MAYAGUEZ S.A.,MAYAGUEZ S.A.,436,7,500,3320,"620,000",1A,Aerocivil,76834,76,2016-01-01,2300-01-01,S,2016
181,743,9NF,no-especificado,RENSO,Aeródromo,5.2417,-71.1909,Trinidad,Casanare,MARTHA L. PAN A.,TAES LTDA.,88,24,2000,432,"692,000",1A,Privado,85430,85,2016-01-01,2300-01-01,S,2016
182,744,9NG,no-especificado,REMOLINOS,Aeródromo,4.2053,-72.6639,Puerto López,Meta,BLANCA E. BULLA PULIDO,ECO LTDA.,1711,0,2000,586,"835,000",1A,Aerocivil,50573,50,2016-01-01,2300-01-01,S,2016
183,745,9NH,no-especificado,LOS ARUCOS,Aeródromo,4.9461,-72.2181,Maní,Casanare,LUIS A. SANTOS,SAAC S.A.S.,69,11,2000,600,"693,000",1A,Privado,85139,85,2016-01-01,2300-01-01,S,2016
184,746,9NI,no-especificado,LA BENDICION DE ARAUCA,Aeródromo,6.9496,-70.7562,Arauca,Arauca,AGROPECUARIA MARIPANATO SAS,HORACIO E. MARTINEZ G.,1386,14,2500,410,"1,126,000",1A,Privado,81001,81,2016-01-01,2300-01-01,S,2016
185,747,9NJ,no-especificado,BELGRADO,Aeródromo,4.3026,-72.3026,Maní,Casanare,FLORINDA ADAN GARCIA,SAAC S.A.S.,1600,24,2000,682,"834,000",1A,Privado,85139,85,2016-01-01,2300-01-01,S,2016
186,748,9NK,no-especificado,MEXICO,Aeródromo,5.495,-71.5189,Trinidad,Casanare,CARLOS A. ARIZA,SAO S.A.S.,70,2,2000,568,"997,000",1A,Aerocivil,85430,85,2016-01-01,2300-01-01,S,2016
187,749,9NL,no-especificado,EL TESORO,Aeródromo,5.3072,-71.3732,Trinidad,Casanare,RENSO AMAYA BECERRA,SAO S.A.S.,2555,3,2000,516,"1,327,000",1A,Privado,85430,85,2016-01-01,2300-01-01,S,2016
188,750,A01,no-especificado,CAMPO ALEGRE,Aeródromo,1.8653,-69.0101,Inírida,Guainía,GOBERNACION,GOBERNACION,2341,50,2000,577,"1,333,000",1A,Fumigación,94001,94,2016-01-01,2300-01-01,S,2016
189,751,A02,no-especificado,CAÑO COLORADO,Aeródromo,2.2774,-68.3599,Inírida,Guainía,GOBERNACION,GOBERNACION,212,43,12202,413,"4,419,000",1C,Aerocivil,94001,94,2016-01-01,2300-01-01,S,2016
190,752,A03,no-especificado,FORTUL,Aeródromo,6.7817,-71.7791,Fortul,Arauca,GOBERNACION,MUNICIPIO,4245,49,4000,730,"2,036,000",1A,Fumigación,81300,81,2016-01-01,2300-01-01,S,2016
191,753,A04,no-especificado,SANTA ROSA DEL SUR,Aeródromo,7.9629,-76.034,Santa Rosa del Sur,Bolívar,MUNICIPIO,MUNICIPIO,4040,82,5000,61,"5,959,000",1A,Público,13688,13,2016-01-01,2300-01-01,S,2016
192,754,ABT,no-especificado,AGUA BLANCA,Aeródromo,4.4656,-74.9948,Piedras,Tolima,SOCIEDAD CULTIVOS SAN JOSE,CRUZ VERDE,358,24,2000,1994,"4,508,000",1A,Aerocivil,73547,73,2016-01-01,2300-01-01,S,2016
193,755,ACD,ACD,ALCIDES FERNANDEZ,Regional,8.4969,-77.2739,Acandí,Chocó,INCORA LTDA,MUNICIPIO,62,0,no-especificado,50,"1,072,000",3A,Fumigación,27006,27,2016-01-01,2300-01-01,S,2016
194,756,ACI,no-especificado,EL MONASTERIO,Aeródromo,3.9587,-73.4425,Acacías,Meta,EFA LTDA.,EFA LTDA.,123,16,2000,948,"2,634,000",1A,Fumigación,50006,50,2016-01-01,2300-01-01,S,2016
195,757,ACL,ACL,AGUACLARA,Aeródromo,4.7333,-73.0583,Sabanalarga,Casanare,CORREGIMIENTO,CORREGIMIENTO,2393,0,12202,1033,"3,660,000",1C,Privado,85300,85,2016-01-01,2300-01-01,S,2016
196,758,ACP,no-especificado,ACAPULCO,Aeródromo,5.4086,-71.8694,Nunchía,Casanare,YOLANDA CAMACHO V.,MARIA A. PACHECO OCHOA,10,23,2000,656,"4,895,000",1A,Público,85225,85,2016-01-01,2300-01-01,S,2016
197,759,ACR,ACR,ARARACUARA,Regional,-0.6008,-72.3981,Solano,Caquetá,GOBERNACION,GOBERNACION,312,111,27000,800,"31,000",3C,Público,18756,18,2016-01-01,2300-01-01,S,2016
198,760,ADZ,ADZ,GUSTAVO ROJAS PINILLA,Internacional,12.5837,-81.7113,San Andrés,San Andrés islas,AEROCIVIL,AEROCIVIL,12279,4,no-especificado,18,"352,000",4D,Fumigación,88001,88,2016-01-01,2300-01-01,S,2016
199,761,AER,no-especificado,AEROFLANDES - C.A.,Aeródromo,4.2171,-74.8454,Flandes,Tolima,AEROFLANDES,CLUB.ULTR-LA LIBELULA,726,54,500,1049,"1,211,000",UL,Público,73275,73,2016-01-01,2300-01-01,S,2016
200,762,AFI,AFI,EL RIO,Aeródromo,6.8954,-75.0475,Amalfi,Antioquia,AEROCIVIL,AEROCIVIL,5058,67,3500,4831,"551,000",2A,Fumigación,5031,5,2016-01-01,2300-01-01,S,2016
201,763,AGB,no-especificado,AGUA BLANCA,Aeródromo,4.1839,-74.8931,Espinal,Tolima,FARCA S.A. - COMODATO,SANIDAD VEGETAL CRUZ,25,0,2000,1095,"7,095,000",1A,Público,73268,73,2016-01-01,2300-01-01,S,2016
202,764,AGH,no-especificado,HACARITAMA,Aeródromo,8.2473,-73.5821,Aguachica,Cesar,AEROCIVIL,AEROCIVIL,8,1,12202,700,"9,248,000",2C,Fumigación,20011,20,2016-01-01,2300-01-01,S,2016
203,765,AGI,no-especificado,EL PARAISO,Aeródromo,8.1258,-73.5806,Aguachica,Cesar,SOCIEDAD CHARRY NARVAEZ,CELTA LTDA.,550,17,2500,328,"1,127,000",1A,Aerocivil,20011,20,2016-01-01,2300-01-01,S,2016
204,766,AGJ,no-especificado,JAMAICA,Aeródromo,5.0905,-72.4462,Aguazul,Casanare,VICTOR H-TORRES Z.,AVIOCOL LTDA.,24,50,2000,781,"1,054,000",1A,Fumigación,85010,85,2016-01-01,2300-01-01,S,2016
205,767,AGU,no-especificado,MARIA ANGELICA,Aeródromo,5.0546,-72.4471,Aguazul,Casanare,GERMAN ERAZO,CELTA LTDA.,74,0,2000,720,"4,736,000",1A,Privado,85010,85,2016-01-01,2300-01-01,S,2016
206,768,AGY,no-especificado,BASE PRINCIPAL CELTA,Aeródromo,8.2002,-73.6313,Aguachica,Cesar,CIA. EN LABORES TEC Y A,CELTA LTDA.,1603,3,2500,305,"5,318,000",1A,Público,20011,20,2016-01-01,2300-01-01,S,2016
207,769,ALT,no-especificado,ALTAMIRA,Aeródromo,4.7586,-71.6386,Orocué,Casanare,PALMAR DE ALTAMIRA S.A.S.,PALMAR DE ALTAMIRA S.A.A,50,42,5000,492,"6,124,000",1A,Público,85230,85,2016-01-01,2300-01-01,S,2016
208,770,ALV,no-especificado,EL DIAMANTE,Aeródromo,4.5694,-74.9337,Alvarado,Tolima,ELIAS ACOSTA Y CIA LTDA,CRUZ VERDE,3695,1,2000,1312,"4,728,000",1A,Público,73026,73,2016-01-01,2300-01-01,S,2016
209,771,AMA,no-especificado,LA AMALIA,Aeródromo,10.867,-74.1458,Ciénaga,Magdalena,ADMINISTRACIONES Y SERVICIOS AEREOS S.A.S.,ASA S.A.S.,62,36,3000,482,"5,716,000",1A,Fumigación,47189,47,2016-01-01,2300-01-01,S,2016
210,772,AMB,no-especificado,EL SANTUARIO,Aeródromo,4.9029,-74.7797,Ambalema,Tolima,HACIENDA ZAPAYAN S.A.,HACIENDA ZAPAYAN S.A.,319,22,2800,830,no-especificado,1A,Aerocivil,73030,73,2016-01-01,2300-01-01,S,2016
211,773,APO,APO,ANTONIO ROLDAN BETANCOURT,Nacional,7.8118,-76.7164,Carepa,Antioquia,AEROCIVIL,EN CONCESION- SOACN(Sociedad Operadora de Aeropuertos Centro Norte,7708,9,no-especificado,46,"1,590,000",4C,Público,5147,5,2016-01-01,2300-01-01,S,2016
